STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNWD,TAVG,TMAX,TMIN,TOBS,WESD,AWND,WSFI
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991127,0.0,152.0,37,8.8,0.2,0.4,35.6,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991128,0.0,152.0,27,9.6,-0.3,3.1,35.6,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991129,0.0,127.0,38,6.2,0.6,4.5,35.6,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991130,0.0,127.0,60,11.3,2.1,2.6,35.6,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991201,12.7,229.0,6,7.8,-8.5,-8.5,45.7,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991202,10.2,305.0,-23,-0.3,-4.1,-4.1,61.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991203,0.0,305.0,-65,-2.1,-11.2,-10.6,61.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991204,0.0,305.0,-100,-6.7,-12.9,-9.6,61.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991205,0.0,279.0,-26,0.5,-5.4,-5.4,61.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991206,0.0,229.0,0,5.3,-5.4,-1.1,63.5,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991207,20.3,457.0,-12,1.5,-3.9,-5.2,83.8,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991208,0.0,432.0,-9999,-9999,-9999,-9999,83.8,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991209,5.1,-9999,-9999,-9999,-9999,-9999,88.9,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991210,5.1,-9999,-9999,-9999,-9999,-9999,96.5,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991211,2.5,457.0,-9999,-9999,-9999,-9999,99.1,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991212,0.0,-9999,-9999,-9999,-9999,-9999,99.1,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991213,17.8,-9999,-9999,-9999,-9999,-9999,116.8,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991214,0.0,-9999,-9999,-9999,-9999,-9999,116.8,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991215,2.5,483.0,-9999,-9999,-9999,-9999,119.4,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991216,0.0,-9999,-9999,-9999,-9999,-9999,119.4,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991217,5.1,508.0,-9999,-9999,-9999,-9999,127.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991218,2.5,483.0,-9999,-9999,-9999,-9999,127.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991219,0.0,457.0,-9999,-9999,-9999,-9999,127.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991220,7.6,559.0,-9999,-9999,-9999,-9999,132.1,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991221,0.0,-9999,-9999,-9999,-9999,-9999,132.1,-9999,-9999
