STATION,STATION_NAME,DATE,MDPR,MDSF,DAPR,DASF,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT01,WT06,WT05,WT11,WT04,WT03
GHCND:USC00420072,ALTA UT US,19661110,-9999,-9999,-9999,-9999,0.69,24.0,5.0,27,15,26,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661111,-9999,-9999,-9999,-9999,0.00,22.0,0.0,32,22,29,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661112,-9999,-9999,-9999,-9999,0.48,24.0,5.0,36,27,33,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661113,-9999,-9999,-9999,-9999,0.00,20.0,0.0,45,26,38,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661114,-9999,-9999,-9999,-9999,0.00,18.0,0.0,44,34,41,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661115,-9999,-9999,-9999,-9999,0.00,16.0,0.0,44,38,40,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661116,-9999,-9999,-9999,-9999,0.00,15.0,0.0,42,36,36,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661117,-9999,-9999,-9999,-9999,0.00,14.0,0.0,48,33,37,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661118,-9999,-9999,-9999,-9999,0.00,14.0,0.0,64,31,38,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661119,-9999,-9999,-9999,-9999,0.00,13.0,0.0,49,30,42,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661120,-9999,-9999,-9999,-9999,0.00,12.0,0.0,44,34,39,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661121,-9999,-9999,-9999,-9999,0.00,11.0,0.0,41,28,28,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661122,-9999,-9999,-9999,-9999,0.00,11.0,0.0,36,26,28,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661123,-9999,-9999,-9999,-9999,0.00,10.0,0.0,29,15,19,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661124,-9999,-9999,-9999,-9999,0.00,10.0,0.0,31,10,19,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661125,-9999,-9999,-9999,-9999,0.04,10.0,0.0,36,16,24,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661126,-9999,-9999,-9999,-9999,0.50,16.0,6.0,24,15,19,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661127,-9999,-9999,-9999,-9999,0.00,15.0,0.0,43,11,31,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661128,-9999,-9999,-9999,-9999,0.00,15.0,0.0,42,28,42,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661129,-9999,-9999,-9999,-9999,0.25,16.0,2.0,43,29,33,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661130,-9999,-9999,-9999,-9999,0.00,0.0,0.0,42,25,31,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19670101,-9999,-9999,-9999,-9999,0.24,55.0,6.0,22,8,15,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19670102,-9999,-9999,-9999,-9999,2.25,76.0,27.0,15,2,2,-9999,-9999,-9999,-9999,-9999,-9999
