STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MDPR,MDSF,DAPR,DASF,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT09,WT07,WT01,WT06,WT05,WT11,WT04,WT08,WT18,WT03
GHCND:USC00420072,ALTA UT US,2670,40.6,-111.633333,19050425,-9999,-9999,-9999,-9999,0,864,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,2670,40.6,-111.633333,19050426,-9999,-9999,-9999,-9999,7.6,864,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,2670,40.6,-111.633333,19050427,-9999,-9999,-9999,-9999,0,813,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,2670,40.6,-111.633333,19050428,-9999,-9999,-9999,-9999,0,737,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,2670,40.6,-111.633333,19050429,-9999,-9999,-9999,-9999,0,965,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,2670,40.6,-111.633333,19050430,-9999,-9999,-9999,-9999,0,610,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,2670,40.6,-111.633333,19050501,-9999,-9999,-9999,-9999,0,610,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,2670,40.6,-111.633333,19050502,-9999,-9999,-9999,-9999,10.2,762,152,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,2670,40.6,-111.633333,19050503,-9999,-9999,-9999,-9999,15.2,1016,254,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,2670,40.6,-111.633333,19050504,-9999,-9999,-9999,-9999,0,914,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,2670,40.6,-111.633333,19050505,-9999,-9999,-9999,-9999,0,813,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,2670,40.6,-111.633333,19050506,-9999,-9999,-9999,-9999,0,737,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,2670,40.6,-111.633333,19050507,-9999,-9999,-9999,-9999,0,508,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,2670,40.6,-111.633333,19050508,-9999,-9999,-9999,-9999,2.3,584,76,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,2670,40.6,-111.633333,19050509,-9999,-9999,-9999,-9999,35.6,991,406,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,2670,40.6,-111.633333,19050510,-9999,-9999,-9999,-9999,0,965,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,2670,40.6,-111.633333,19050511,-9999,-9999,-9999,-9999,0,914,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,2670,40.6,-111.633333,19050512,-9999,-9999,-9999,-9999,0,889,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,2670,40.6,-111.633333,19050513,-9999,-9999,-9999,-9999,7.6,1016,127,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,2670,40.6,-111.633333,19050514,-9999,-9999,-9999,-9999,0,940,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,2670,40.6,-111.633333,19050515,-9999,-9999,-9999,-9999,0,813,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,2670,40.6,-111.633333,19050516,-9999,-9999,-9999,-9999,0,686,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,2670,40.6,-111.633333,19050517,-9999,-9999,-9999,-9999,15.2,559,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,2670,40.6,-111.633333,19050518,-9999,-9999,-9999,-9999,0,508,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,2670,40.6,-111.633333,19050519,-9999,-9999,-9999,-9999,0,432,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,2670,40.6,-111.633333,19050520,-9999,-9999,-9999,-9999,0,381,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
